,종목 코드,상승 확률,하락 확률,변동 없는 확률,상승 확률 높은 순위
1431,003100,0.625,0.31451612903225806,0.06048387096774194,1.0
246,016710,0.6209677419354839,0.31451612903225806,0.06451612903225806,2.0
33,383220,0.5915492957746479,0.36619718309859156,0.04225352112676056,3.0
108,178920,0.5806451612903226,0.3911290322580645,0.028225806451612902,4.0
353,138040,0.5645161290322581,0.35080645161290325,0.0846774193548387,5.0
1002,051390,0.5564516129032258,0.39919354838709675,0.04435483870967742,6.0
659,018470,0.5524193548387096,0.4032258064516129,0.04435483870967742,8.0
1152,213420,0.5524193548387096,0.42338709677419356,0.024193548387096774,8.0
45,011200,0.5524193548387096,0.4112903225806452,0.036290322580645164,8.0
48,175330,0.5483870967741935,0.3870967741935484,0.06451612903225806,10.0
1525,217330,0.5443548387096774,0.3911290322580645,0.06451612903225806,11.5
1396,017480,0.5443548387096774,0.4314516129032258,0.024193548387096774,11.5
1017,049720,0.5403225806451613,0.39919354838709675,0.06048387096774194,13.0
133,361610,0.5384615384615384,0.4358974358974359,0.02564102564102564,14.0
899,298020,0.5362903225806451,0.43548387096774194,0.028225806451612902,19.0
1307,213090,0.5362903225806451,0.41935483870967744,0.04435483870967742,19.0
277,016090,0.5362903225806451,0.4314516129032258,0.03225806451612903,19.0
1027,090150,0.5362903225806451,0.4153225806451613,0.04838709677419355,19.0
2176,023160,0.5362903225806451,0.41935483870967744,0.04435483870967742,19.0
404,006660,0.5362903225806451,0.3911290322580645,0.07258064516129033,19.0
1981,049550,0.5362903225806451,0.43548387096774194,0.028225806451612902,19.0
1874,206650,0.5362903225806451,0.45161290322580644,0.012096774193548387,19.0
2318,025550,0.5362903225806451,0.42338709677419356,0.04032258064516129,19.0
2130,183300,0.532258064516129,0.43548387096774194,0.03225806451612903,29.5
1154,077360,0.532258064516129,0.4435483870967742,0.024193548387096774,29.5
1207,043360,0.532258064516129,0.42338709677419356,0.04435483870967742,29.5
849,000720,0.532258064516129,0.45161290322580644,0.016129032258064516,29.5
2256,093380,0.532258064516129,0.4596774193548387,0.008064516129032258,29.5
1912,272290,0.532258064516129,0.4475806451612903,0.020161290322580645,29.5
1923,078020,0.532258064516129,0.4435483870967742,0.024193548387096774,29.5
420,029780,0.532258064516129,0.43951612903225806,0.028225806451612902,29.5
967,104200,0.532258064516129,0.4475806451612903,0.020161290322580645,29.5
1289,080160,0.532258064516129,0.43951612903225806,0.028225806451612902,29.5
0,095570,0.532258064516129,0.43951612903225806,0.028225806451612902,29.5
333,007340,0.532258064516129,0.3951612903225806,0.07258064516129033,29.5
850,267270,0.5282258064516129,0.4475806451612903,0.024193548387096774,40.5
286,001230,0.5282258064516129,0.43548387096774194,0.036290322580645164,40.5
821,002220,0.5282258064516129,0.4274193548387097,0.04435483870967742,40.5
18,016610,0.5282258064516129,0.41935483870967744,0.05241935483870968,40.5
1373,143240,0.5282258064516129,0.4112903225806452,0.06048387096774194,40.5
2128,036690,0.5282258064516129,0.43548387096774194,0.036290322580645164,40.5
1703,247540,0.5282258064516129,0.4637096774193548,0.008064516129032258,40.5
70,030200,0.5282258064516129,0.40725806451612906,0.06451612903225806,40.5
696,005070,0.5282258064516129,0.43951612903225806,0.03225806451612903,40.5
2343,078350,0.5282258064516129,0.41935483870967744,0.05241935483870968,40.5
757,352820,0.5251141552511416,0.45662100456621,0.0182648401826484,46.0
753,005810,0.5241935483870968,0.41935483870967744,0.056451612903225805,58.5
434,023000,0.5241935483870968,0.4314516129032258,0.04435483870967742,58.5
170,012200,0.5241935483870968,0.4435483870967742,0.03225806451612903,58.5
273,003490,0.5241935483870968,0.43951612903225806,0.036290322580645164,58.5
1629,019990,0.5241935483870968,0.4435483870967742,0.03225806451612903,58.5
199,000270,0.5241935483870968,0.45161290322580644,0.024193548387096774,58.5
785,161390,0.5241935483870968,0.45564516129032256,0.020161290322580645,58.5
898,298050,0.5241935483870968,0.43548387096774194,0.04032258064516129,58.5
214,002355,0.5241935483870968,0.3790322580645161,0.0967741935483871,58.5
2239,263750,0.5241935483870968,0.4435483870967742,0.03225806451612903,58.5
905,005010,0.5241935483870968,0.4435483870967742,0.03225806451612903,58.5
916,035760,0.5241935483870968,0.45564516129032256,0.020161290322580645,58.5
102,005945,0.5241935483870968,0.375,0.10080645161290322,58.5
72,030210,0.5241935483870968,0.45161290322580644,0.024193548387096774,58.5
231,006370,0.5241935483870968,0.43548387096774194,0.04032258064516129,58.5
1980,094820,0.5241935483870968,0.40725806451612906,0.06854838709677419,58.5
2345,046110,0.5241935483870968,0.4314516129032258,0.04435483870967742,58.5
2387,028080,0.5241935483870968,0.4435483870967742,0.03225806451612903,58.5
22,139130,0.5241935483870968,0.43548387096774194,0.04032258064516129,58.5
355,000060,0.5241935483870968,0.3951612903225806,0.08064516129032258,58.5
249,003545,0.5241935483870968,0.375,0.10080645161290322,58.5
1585,059100,0.5241935483870968,0.42338709677419356,0.05241935483870968,58.5
1011,039240,0.5241935483870968,0.4475806451612903,0.028225806451612902,58.5
2284,128660,0.5241935483870968,0.43951612903225806,0.036290322580645164,58.5
131,302440,0.5217391304347826,0.4260869565217391,0.05217391304347826,71.0
109,005490,0.5201612903225806,0.45161290322580644,0.028225806451612902,79.5
19,005830,0.5201612903225806,0.45161290322580644,0.028225806451612902,79.5
418,016360,0.5201612903225806,0.4475806451612903,0.03225806451612903,79.5
2019,089790,0.5201612903225806,0.4475806451612903,0.03225806451612903,79.5
638,020150,0.5201612903225806,0.4475806451612903,0.03225806451612903,79.5
